,Shannon,Crop,SampleType,Notes
SRR12728806,1.9857858881571782,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728810,1.0553465616179463,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728811,2.08854993830621,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728819,2.4874089108089854,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728820,1.6042080765393152,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732104,6.059250073553483,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732113,6.097020317149157,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732118,5.662065003568734,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732120,5.523115696309382,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732126,5.972880582024688,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732136,6.140914066687144,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732140,5.850490430044388,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732146,6.053344544047019,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732159,5.727198239709959,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732166,6.138862883124984,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732168,6.256735972770653,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732170,5.794290894295045,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732171,5.995120444806455,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732175,6.222539743148125,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732176,6.1627053339078355,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732178,5.675419666958996,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732181,6.000642110966082,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732182,5.994465873995081,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732187,5.8408187029391225,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732188,5.755217535536168,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR33067009,6.582843516771726,Potato,Rhizosphere,PRJNA1248770
SRR33067016,6.444377979645982,Potato,Rhizosphere,PRJNA1248770
SRR33067031,6.6990678163467425,Potato,Rhizosphere,PRJNA1248770
SRR33067049,6.092650041806493,Potato,Rhizosphere,PRJNA1248770
SRR33067060,6.303035350888242,Potato,Rhizosphere,PRJNA1248770
SRR33067062,6.579880323610944,Potato,Rhizosphere,PRJNA1248770
SRR33067067,6.539555227966491,Potato,Rhizosphere,PRJNA1248770
