Genus,P_Value,P_Adjusted,Log2FC,Is_Significant
Blastococcus,7.501130600962139e-15,4.935743935433087e-12,4.138153032480824,True
Luteitalea,2.8894301596376496e-14,9.506225225207867e-12,4.789129122721247,True
Nocardioides,7.025277498727767e-14,1.3172274082476806e-11,4.559763431649174,True
Pirellula,8.007461448314168e-14,1.3172274082476806e-11,3.462008427171489,True
Pannonibacter,2.778250008384073e-13,3.65617701103344e-11,-8.737352794221922,True
Sumerlaea,3.822694463419212e-13,4.1922215948830693e-11,9.669140152344745,True
Flaviaesturariibacter,5.392783374554683e-13,5.069216372081402e-11,6.333264759488779,True
Neo-b11,1.2359800997342077e-12,1.0165936320313858e-10,-7.240402068023378,True
Rubritepida,3.5793217357693697e-12,2.378056207318168e-10,-5.922913628850989,True
Anaerosolibacter,3.614067184374115e-12,2.378056207318168e-10,-6.710927588189344,True
GTL1,5.230554262313574e-12,3.1288224587293924e-10,-6.601786542728056,True
Kallotenue,7.235024495464402e-12,3.662035475396597e-10,-10.368173354450706,True
Constrictibacter,7.2062007260269045e-12,3.662035475396597e-10,-6.472988344136824,True
Microlunatus,9.031298943663818e-12,4.2447105035219945e-10,-6.295770481570705,True
CL500-3,1.2631813370746626e-11,4.70015768068286e-10,-5.074562041495829,True
Candidatus Koribacter,1.2857574202475908e-11,4.70015768068286e-10,-6.394663009229528,True
Candidatus Paracaedibacter,1.2449445988367247e-11,4.70015768068286e-10,-5.716295686920028,True
alphaI cluster,1.2539925094947678e-11,4.70015768068286e-10,-7.003388418736134,True
Prosthecomicrobium,1.8904991716644296e-11,6.547097131343129e-10,-5.832937658803637,True
Terrisporobacter,2.2990325975412538e-11,7.563817245910725e-10,-6.733878543023664,True
PMMR1,2.7448141443660195e-11,8.600417652346862e-10,-8.300585635521085,True
Microcoleus Es-Yyy1400,3.225127842322615e-11,9.64606418294673e-10,-5.804395868969626,True
Phreatobacter,4.188375076230294e-11,1.198239478330232e-09,-6.585031875408609,True
Tagaea,4.9016194165965805e-11,1.343860656716896e-09,-8.04700384856179,True
Rhodobacter,5.2563787417692876e-11,1.3834788848336765e-09,-4.827044425724847,True
Micrococcus,6.805279553369554e-11,1.7222592100450642e-09,-7.193730350826731,True
Paramesorhizobium,7.90732153851724e-11,1.92704354531272e-09,-6.5795707179484495,True
Solibacillus,1.0334473082287492e-10,2.4286011743375607e-09,12.837353982109764,True
Candidatus Xiphinematobacter,1.1811829407645368e-10,2.5289378475060193e-09,-4.789847129588579,True
Mesorhizobium,1.172954762744641e-10,2.5289378475060193e-09,4.936921892274594,True
Pedococcus-Phycicoccus,1.225401413055754e-10,2.5289378475060193e-09,-5.260063914993708,True
Pseudarthrobacter,1.2298785884527754e-10,2.5289378475060193e-09,1.5876054537326967,True
CL500-29 marine group,1.347217041809669e-10,2.6072612162081243e-09,-5.610822869930601,True
Anaerobacterium,1.3225535848670112e-10,2.6072612162081243e-09,-4.715799578271341,True
Ciceribacter,1.5056703890297146e-10,2.8306603313758634e-09,-4.638512279021311,True
Magnetospirillum,1.6882200327167658e-10,3.0856910597989774e-09,-4.776701839343909,True
Anaerosporobacter,1.957918001847151e-10,3.4819190411227713e-09,-4.198344655067681,True
