,Abditibacteriota,Acidobacteriota,Actinobacteriota,Aenigmarchaeota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Crenarchaeota,Cyanobacteria,Dadabacteria,Deinococcota,Dependentiae,Desulfobacterota,Elusimicrobiota,Entotheonellaeota,FCPU426,Fibrobacterota,Firmicutes,Gemmatimonadota,Halanaerobiaeota,Halobacterota,Hydrogenedentes,Latescibacterota,MBNT15,Methylomirabilota,Myxococcota,NB1-j,Nanoarchaeota,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,RCP2-54,SAR324 clade(Marine group B),Sumerlaeota,TX1A-33,Thermoplasmatota,Verrucomicrobiota,WPS-2,WS2,Crop
SRR12728806,0.0,0.0,0.4640549273021002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359450726978998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groundnut
SRR12728810,0.0,0.0,0.32840179092855754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715982090714425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groundnut
SRR12728811,0.0,0.0,0.027649592370404555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723504076295955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groundnut
SRR12728819,0.0,0.0,0.14714146905118305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8528585309488169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groundnut
SRR12728820,0.0,0.0,0.1487237745335009,0.0,0.0,0.0007613845112636566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008459827902929517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496688581649424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groundnut
SRR12732104,0.0006681301899398683,0.09936050396105756,0.131955712513124,0.0,0.013219433043810251,0.0,0.0011930896248926218,0.0655722057840985,0.0,0.004486016989596259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000381788679965639,0.0009544716999140975,0.0,0.0,0.0,0.0,0.0,0.0,0.00014317075498711463,0.0,0.0,0.0,0.10379879736565811,0.23126849288918583,0.34260761668416534,0.0,0.0,0.0,0.0,0.00047723584995704876,0.0030065858547294075,0.0,0.0009067481149183927,Groundnut
SRR12732113,0.0003607763907929865,0.10556317194602785,0.15455660581571543,0.0,0.03528393101955408,0.0,0.000721552781585973,0.19597373547875027,0.0,0.0028140558481852948,0.0,0.0,0.0,0.0,0.0002164658344757919,0.0002164658344757919,0.0,0.0,0.0010101738942203623,0.008875099213507468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375207446424706,0.24922433075979508,0.23551482790966158,0.0,0.0001443105563171946,0.0,0.0,0.0013709502850133488,0.0,0.0,0.004401471967674435,Groundnut
SRR12732118,0.0003570790930191037,0.05796583943343451,0.06873772540617747,0.0,0.0051181336666071536,0.0,0.00029756591084925313,0.07082068678212224,0.0,0.0019044218294352198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03493423793370232,0.0007736713682080581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07825983455335357,0.15324644408736535,0.5116348271142058,0.0,0.00029756591084925313,0.0,0.0,0.00011902636433970124,0.0095221091471761,0.00023805272867940248,0.00577277867047551,Groundnut
SRR12732120,0.0006914672935970129,0.10316692020467431,0.07785921725902364,0.0,0.008435900981883557,0.0,0.0,0.031116028211865578,0.0,0.0012446411284746232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021712073018946204,0.0005531738348776103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07592310883695201,0.2709168856313096,0.39468953118517497,0.0,0.000968054211035818,0.0,0.0,0.0,0.011616650532429816,0.0,0.0011063476697552206,Groundnut
SRR12732126,0.001953464143080396,0.07909359263761069,0.06949991317937142,0.0,0.010548706372634139,8.682062858135092e-05,0.0008247959715228338,0.05174509463448515,0.0,0.004080569543323494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06359611043583956,0.0010852578572668867,0.0,0.0,0.0,0.0,0.0,8.682062858135092e-05,0.0,0.0,0.0001302309428720264,0.0,0.0866903976384789,0.26406494183017887,0.3595242229553742,0.0,0.00047751345719743014,0.0,0.0,0.0,0.005079006772009029,0.00039069282861607917,0.0010418475429762111,Groundnut
SRR12732136,0.0016738948489690329,0.0672220954120064,0.1432701818458495,0.0,0.006353191813132466,0.0,0.0011793350072281824,0.09678155672220955,0.0,0.01552157041771285,0.0,0.0,0.0,0.0,0.0,0.00022825838849577722,0.0,0.0,0.0290649014684623,0.0007228182302366279,0.0,0.0,0.0,0.0,0.0,0.0,0.00011412919424788861,0.0,0.00015217225899718482,0.0,0.006505364072129651,0.14273757893935934,0.4842121281290421,0.0,0.0012173780719774785,0.0,0.0,0.0,0.0004184737122422582,0.00022825838849577722,0.0023967130792056607,Groundnut
SRR12732140,0.0020706996006507913,0.08844845437065522,0.08105309865404527,0.0,0.007296750973721836,0.0,0.0012325592861016615,0.05610609870334763,0.0,0.006902332002169304,0.0,0.00029581422866439876,0.0,0.0,0.0,0.0,0.0,0.0,0.03589212641128038,0.0013804664004338609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004190701572745649,0.19484297194695066,0.5173790859340335,0.0,0.0007395355716609969,0.0,0.0,0.0,0.00019720948577626584,0.00029581422866439876,0.0016762806290982596,Groundnut
SRR12732146,0.0002736539645618116,0.12683861257439968,0.13196962440993365,0.0,0.026544434562495726,0.0,0.0009577888759663406,0.13539029896695629,0.0,0.005883560238078949,0.0,0.0001368269822809058,0.0,0.0,0.0,0.0002736539645618116,0.0,0.0,0.001368269822809058,0.0044468769241294386,0.0,0.0,0.0,0.0,0.0,0.0,0.0004788944379831703,0.0,0.0,0.0,0.0058151467469384965,0.2690018471642608,0.2861736334405145,0.0,0.0001368269822809058,0.0,0.0,0.0006157214202640761,0.0,0.0005473079291236232,0.0031470205924608334,Groundnut
SRR12732159,0.0,0.07376020087884495,0.1829880728185813,0.0,0.0354676710608914,0.0,0.0007846829880728185,0.1401443816698054,0.0,0.0007846829880728185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012554927809165098,0.016321406151914627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012397991211550533,0.26632140615191463,0.26616446955430006,0.0,0.00031387319522912746,0.0,0.0,0.00047080979284369113,0.0007846829880728185,0.0,0.0020401757689893284,Groundnut
SRR12732166,0.0,0.07924657828120307,0.11374265242201914,0.0,0.036126485605182994,0.0,0.00025743338911056766,0.16595872484661262,0.0,0.0030462951044750502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005577723430728966,0.006907795941133565,0.0,0.0,0.0,0.0,0.0,0.0,0.00012871669455528383,0.0,0.0,0.0,0.008109151756982881,0.23924142961342085,0.333032994379371,0.0,0.0001716222594070451,0.0,0.0,0.0007723001673317029,0.0,0.00012871669455528383,0.012571330501566053,Groundnut
